Date,BT,BT%,Dollar,Dollar%,GPUvendor,Btben,Oilprice
2023-09-13,62580 ,0.001500 ,105320 ,-0.000800 ,50571000 ,0,95.56
2023-09-12,78710 ,0.026500 ,105400 ,0.006100 ,37010000 ,0,93.84
2023-09-11,56320 ,-0.026100 ,104770 ,0.000500 ,39836000 ,0,93.89
2023-09-10,23600 ,-0.002400 ,104710 ,0.001400 ,34926000 ,0,92.34
2023-09-09,13480 ,-0.000300 ,104570 ,-0.005000 ,47397000 ,0,91.59
2023-09-08,41010 ,-0.013000 ,105090 ,0.000300 ,47307000 ,0,91.08
2023-09-07,39770 ,0.019100 ,105060 ,0.001900 ,43333000 ,0,91.49
2023-09-06,37780 ,-0.001300 ,104860 ,0.000500 ,46867000 ,0,90.58
2023-09-05,28400 ,-0.001300 ,104810 ,0.005500 ,38265000 ,0,89.2
2023-09-04,27130 ,-0.005700 ,104240 ,0.000000 ,46319000 ,0,89.47
2023-09-03,21360 ,0.003900 ,104240 ,0.006000 ,52857000 ,0,-
2023-09-02,21240 ,0.002600 ,103620 ,0.004500 ,73521000 ,0,87.53
2023-09-01,58080 ,-0.005200 ,103160 ,-0.003600 ,70140000 ,0,86.78
2023-08-31,69110 ,-0.049900 ,103530 ,-0.005100 ,68519000 ,0,86.09
2023-08-30,46540 ,-0.015300 ,104060 ,-0.000200 ,92534000 ,0,86.29
2023-08-29,98320 ,0.061400 ,104080 ,0.000900 ,115604000 ,0,86.17
2023-08-28,28840 ,0.000700 ,103980 ,0.005400 ,77905000 ,0,85.09
2023-08-27,14290 ,0.003200 ,103420 ,-0.001400 ,75721000 ,0,85.34
2023-08-26,12090 ,-0.001500 ,103560 ,0.002500 ,69257000 ,0,85.74
2023-08-25,39960 ,-0.004600 ,103300 ,-0.000700 ,58262000 ,0,86.93
2023-08-24,41040 ,-0.009800 ,103380 ,-0.001900 ,45240000 ,0,85.41
2023-08-23,60960 ,0.015200 ,103570 ,0.001400 ,52745000 ,0,84.94
2023-08-22,47720 ,-0.003300 ,103430 ,0.002200 ,67651000 ,0,86.04
2023-08-21,41100 ,-0.002500 ,103210 ,0.000200 ,69029000 ,0,87.14
2023-08-20,24000 ,0.003500 ,103190 ,0.003400 ,53201000 ,0,87.61
2023-08-19,33040 ,0.001800 ,102840 ,0.003100 ,49271000 ,0,87.86
2023-08-18,93050 ,-0.021900 ,102520 ,0.000300 ,58645000 ,0,89.03
2023-08-17,132920 ,-0.072800 ,102490 ,-0.000400 ,35384000 ,0,-
2023-08-16,43710 ,-0.016100 ,102530 ,0.004700 ,32215000 ,0,87.09
2023-08-15,33810 ,-0.007900 ,102050 ,0.000300 ,36226000 ,0,87.73
2023-08-14,39300 ,0.004300 ,102020 ,-0.005100 ,32418000 ,0,87.11
2023-08-13,13490 ,-0.004400 ,102540 ,-0.000500 ,53014000 ,0,83.97
2023-08-12,11070 ,0.000200 ,102590 ,0.002800 ,23786000 ,0,86.29
2023-08-11,27710 ,-0.001000 ,102300 ,0.004400 ,25106000 ,0,85.85
2023-08-10,32000 ,-0.004400 ,101860 ,0.002300 ,33119000 ,0,85.64
2023-08-09,49670 ,-0.006700 ,101620 ,-0.001500 ,45598000 ,0,84.71
2023-08-08,62570 ,0.019600 ,101770 ,0.008800 ,36424000 ,0,84.09
2023-08-07,41190 ,0.004200 ,100890 ,-0.004600 ,34808000 ,0,84.29
2023-08-06,16030 ,0.000500 ,101350 ,0.000000 ,38252000 ,0,84.25
2023-08-05,14550 ,-0.001300 ,101350 ,0.002700 ,96283000 ,0,82.52
2023-08-04,31430 ,-0.002900 ,101070 ,0.001900 ,53787000 ,0,81.77
2023-08-03,36080 ,0.000500 ,100880 ,0.006000 ,42750000 ,0,81.04
2023-08-02,67410 ,-0.018100 ,100280 ,0.003400 ,57019000 ,0,80.99
2023-08-01,64010 ,0.016400 ,99940 ,0.001000 ,51049000 ,0,79.59
2023-07-31,31840 ,-0.001700 ,99840 ,-0.000700 ,77066000 ,0,79.47
2023-07-30,20580 ,-0.002400 ,99910 ,0.001400 ,47820000 ,0,81.97
2023-07-29,13900 ,0.001300 ,99770 ,-0.007500 ,48128000 ,0,81.09
2023-07-28,31420 ,0.003200 ,100520 ,-0.011900 ,29824000 ,0,79.91
2023-07-27,30420 ,-0.004400 ,101730 ,-0.002400 ,35391000 ,0,78.79
2023-07-26,44330 ,0.004200 ,101970 ,-0.002900 ,35525000 ,0,78.28
2023-07-25,29050 ,0.001700 ,102270 ,-0.007700 ,30358000 ,0,77.86
2023-07-24,55730 ,-0.030200 ,103070 ,-0.002900 ,32362000 ,0,77.29
2023-07-23,23320 ,0.010000 ,103370 ,0.003200 ,19821000 ,0,75.44
2023-07-22,18470 ,-0.003800 ,103040 ,0.000700 ,50053000 ,0,75.2
2023-07-21,32590 ,0.003400 ,102960 ,0.000500 ,38051000 ,0,75.21
2023-07-20,50330 ,-0.003600 ,102910 ,-0.004200 ,58264000 ,0,76.63
2023-07-19,34960 ,0.001400 ,103340 ,0.004200 ,46218000 ,0,-
2023-07-18,42400 ,-0.009100 ,102900 ,0.004000 ,59432000 ,0,74.24
2023-07-17,42840 ,-0.003200 ,102490 ,-0.001900 ,35632000 ,0,75.48
2023-07-16,20310 ,-0.001800 ,102690 ,-0.002100 ,41774000 ,0,74.49
2023-07-15,17060 ,-0.000900 ,102900 ,0.005000 ,55160000 ,0,74.07
2023-07-14,82420 ,-0.036500 ,102390 ,0.003100 ,45115000 ,0,77.44
