Date,BT,BT%,Dollar,Dollar%,GPUvendor,Btben,Oilprice
2023-09-13,62.58K,0.15%,105.32k,-0.08%,"50,571K",0,95.56
2023-09-12,78.71K,2.65%,105.4k,0.61%,"37,010K",0,93.84
2023-09-11,56.32K,-2.61%,104.77k,0.05%,"39,836K",0,93.89
2023-09-10,23.60K,-0.24%,104.71k,0.14%,"34,926K",0,92.34
2023-09-09,13.48K,-0.03%,104.57k,-0.50%,"47,397K",0,91.59
2023-09-08,41.01K,-1.30%,105.09k,0.03%,"47,307K",0,91.08
2023-09-07,39.77K,1.91%,105.06k,0.19%,"43,333K",0,91.49
2023-09-06,37.78K,-0.13%,104.86k,0.05%,"46,867K",0,90.58
2023-09-05,28.40K,-0.13%,104.81k,0.55%,"38,265K",0,89.2
2023-09-04,27.13K,-0.57%,104.24k,0.00%,"46,319K",0,89.47
2023-09-03,21.36K,0.39%,104.24k,0.60%,"52,857K",0,-
2023-09-02,21.24K,0.26%,103.62k,0.45%,"73,521K",0,87.53
2023-09-01,58.08K,-0.52%,103.16k,-0.36%,"70,140K",0,86.78
2023-08-31,69.11K,-4.99%,103.53k,-0.51%,"68,519K",0,86.09
2023-08-30,46.54K,-1.53%,104.06k,-0.02%,"92,534K",0,86.29
2023-08-29,98.32K,6.14%,104.08k,0.09%,"115,604K",0,86.17
2023-08-28,28.84K,0.07%,103.98k,0.54%,"77,905K",0,85.09
2023-08-27,14.29K,0.32%,103.42k,-0.14%,"75,721K",0,85.34
2023-08-26,12.09K,-0.15%,103.56k,0.25%,"69,257K",0,85.74
2023-08-25,39.96K,-0.46%,103.3k,-0.07%,"58,262K",0,86.93
2023-08-24,41.04K,-0.98%,103.38k,-0.19%,"45,240K",0,85.41
2023-08-23,60.96K,1.52%,103.57k,0.14%,"52,745K",0,84.94
2023-08-22,47.72K,-0.33%,103.43k,0.22%,"67,651K",0,86.04
2023-08-21,41.10K,-0.25%,103.21k,0.02%,"69,029K",0,87.14
2023-08-20,24.00K,0.35%,103.19k,0.34%,"53,201K",0,87.61
2023-08-19,33.04K,0.18%,102.84k,0.31%,"49,271K",0,87.86
2023-08-18,93.05K,-2.19%,102.52k,0.03%,"58,645K",0,89.03
2023-08-17,132.92K,-7.28%,102.49k,-0.04%,"35,384K",0,-
2023-08-16,43.71K,-1.61%,102.53k,0.47%,"32,215K",0,87.09
2023-08-15,33.81K,-0.79%,102.05k,0.03%,"36,226K",0,87.73
2023-08-14,39.30K,0.43%,102.02k,-0.51%,"32,418K",0,87.11
2023-08-13,13.49K,-0.44%,102.54k,-0.05%,"53,014K",0,83.97
2023-08-12,11.07K,0.02%,102.59k,0.28%,"23,786K",0,86.29
2023-08-11,27.71K,-0.10%,102.3k,0.44%,"25,106K",0,85.85
2023-08-10,32.00K,-0.44%,101.86k,0.23%,"33,119K",0,85.64
2023-08-09,49.67K,-0.67%,101.62k,-0.15%,"45,598K",0,84.71
2023-08-08,62.57K,1.96%,101.77k,0.88%,"36,424K",0,84.09
2023-08-07,41.19K,0.42%,100.89k,-0.46%,"34,808K",0,84.29
